model,is_poison,epoch,lr,acc
Target_ResNet_18,False,105,1.5653110595703126,43.15
Target_ResNet_18,True,106,2.9482950897216798,0%
Target_ResNet_18,False,106,1.567781689453125,43.4
Target_ResNet_18,True,107,2.8835187454223634,0%
Target_ResNet_18,False,107,1.5601046508789063,43.55
Target_ResNet_18,True,108,2.9036081161499023,0%
Target_ResNet_18,False,108,1.5491010375976562,44.14
Target_ResNet_18,True,109,2.9241958084106447,0%
Target_ResNet_18,False,109,1.548307958984375,44.4
Target_ResNet_18,True,110,2.965143455505371,0%
Target_ResNet_18,False,110,1.5411993286132812,44.71
Target_ResNet_18,True,111,2.993920295715332,0%
Target_ResNet_18,False,111,1.5421269775390625,44.51
Target_ResNet_18,True,112,2.9347327117919924,0%
Target_ResNet_18,False,112,1.5488918579101563,44.529999999999994
Target_ResNet_18,True,113,2.9048532485961913,0%
Target_ResNet_18,False,113,1.5551436401367187,43.89
Target_ResNet_18,True,114,3.0142507781982424,0%
Target_ResNet_18,False,114,1.5486560913085938,44.43
Target_ResNet_18,True,115,3.0920645141601564,0%
Target_ResNet_18,False,115,1.5326353515625,45.21
Target_ResNet_18,True,116,3.042135215759277,0%
Target_ResNet_18,False,116,1.535687255859375,44.89
Target_ResNet_18,True,117,3.077749412536621,0%
Target_ResNet_18,False,117,1.5317238647460938,45.16
Target_ResNet_18,True,118,3.05459619140625,0%
Target_ResNet_18,False,118,1.5200503784179686,45.4
Target_ResNet_18,True,119,3.049171173095703,0%
Target_ResNet_18,False,119,1.5158232543945314,45.769999999999996
Target_ResNet_18,True,120,3.1072143630981444,0%
Target_ResNet_18,False,120,1.5075813110351564,45.6
Target_ResNet_18,True,121,3.093244529724121,0%
Target_ResNet_18,False,121,1.497125,45.989999999999995
Target_ResNet_18,True,122,3.0708188552856446,0%
Target_ResNet_18,False,122,1.4899669189453124,46.01
Target_ResNet_18,True,123,3.1038838653564453,0%
Target_ResNet_18,False,123,1.4919437133789062,46.46
Target_ResNet_18,True,124,3.2363292083740234,0%
Target_ResNet_18,False,124,1.472786279296875,46.910000000000004
Target_ResNet_18,True,125,3.1002916870117185,0%
Target_ResNet_18,False,125,1.4835294067382812,47.24
